	genename	annotation
661	CA12g01980	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like isoform X3 [Solanum tuberosum]
662	CA12g02000	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like isoform X2 [Solanum tuberosum]
663	CA12g02010	F-box/FBD/LRR-repeat protein
664	CA12g02650	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At4g36180-like [Solanum lycopersicum]
665	CA12g02660	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At4g36180-like [Solanum lycopersicum]
666	CA12g02670	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Citrus sinensis]
667	CA12g02700	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At4g36180-like [Solanum lycopersicum]
668	CA12g02740	F-box/FBD/LRR-repeat protein
669	CA12g03490	NBS-LRR type disease resistance protein
670	CA12g03500	Nbs-lrr resistance protein
671	CA12g03570	PREDICTED: LRR receptor-like serine/threonine-protein kinase FLS2-like [Vitis vinifera]
672	CA12g03710	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At5g10290-like [Solanum lycopersicum]
673	CA12g04520	PREDICTED: LRR receptor-like serine/threonine-protein kinase FLS2-like [Vitis vinifera]
674	CA12g05510	Nbs-lrr resistance protein
675	CA12g05800	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At4g36180-like [Solanum lycopersicum]
676	CA12g06480	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO2-like [Solanum tuberosum]
677	CA12g06490	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
678	CA12g06500	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
679	CA12g07960	PREDICTED: putative leucine-rich repeat-containing protein DDB_G0290503-like [Solanum tuberosum]
680	CA12g08150	PREDICTED: F-box/LRR-repeat protein At3g03360-like [Solanum tuberosum]
681	CA12g08280	F-box/FBD/LRR-repeat protein
682	CA12g08950	Leucine-rich repeat/extensin 1
683	CA12g16150	PREDICTED: putative F-box/LRR-repeat protein At5g02700-like [Solanum lycopersicum]
684	CA12g16320	Tir-nbs-lrr resistance protein
685	CA12g16330	PREDICTED: putative F-box/LRR-repeat protein At5g02700-like [Solanum lycopersicum]
686	CA12g17210	Lrr receptor protein kinase, putative
687	CA12g17250	pollen-specific leucine-rich repeat extensin-like protein 3 [Arabidopsis thaliana]
688	CA12g18200	NBS resistance protein
689	CA12g18780	F-box/LRR-repeat protein
690	CA12g18800	Leucine-rich repeat protein, putative
691	CA12g19490	PREDICTED: probably inactive leucine-rich repeat receptor-like protein kinase At5g48380-like [Solanum lycopersicum]
692	CA12g19500	PREDICTED: probably inactive leucine-rich repeat receptor-like protein kinase At5g48380-like [Vitis vinifera]
693	CA12g20460	NBS-coding resistance gene analog (Fragment)
694	CA12g21440	PREDICTED: putative F-box/LRR-repeat protein At3g18150-like [Solanum tuberosum]
695	CA12g21460	PREDICTED: putative F-box/LRR-repeat protein At3g18150-like [Solanum tuberosum]
696	CA12g21910	Elicitor-inducible LRR receptor-like protein EILP
697	CA12g21960	Elicitor-inducible LRR receptor-like protein EILP
